Shipper ID,Tracking ID,Origin Hub Name,Dest Hub Name,Count
11398224,26062715304195LZ1RK2EWLR-01,MAC-MAC,MAC-CBD,1
11398224,26062715304195LZ1RK2EWLR-02,MAC-MAC,MAC-CBD,1
11398224,26062715304195LZ1RK2EWLR-DO,MAC-MAC,MAC-KD5,1
11398224,260627162905458QNZQDVBW-01,SUB-SUB,SUB-PWH,1
11398224,260627162905458QNZQDVBW-DO,SUB-SUB,SUB-NWE,1
11398224,26062716290545PZ89CZIJ2Z-01,SUB-SUB,SUB-PWH,1
11398224,26062716290545PZ89CZIJ2Z-DO,SUB-SUB,SUB-NWE,1
11398224,26062716290545XCEFNX7DGW-01,SUB-SUB,SUB-PWH,1
11398224,26062716290545XCEFNX7DGW-DO,SUB-SUB,SUB-NWE,1
11398224,26062722252926OTOVX94GX-01,SUB-SUB,SOC-NGW,1
11398224,26062722252926OTOVX94GX-DO,SOC-SOC,SUB-NWE,1
11398224,26062722252926QBXGFEDGO-01,SUB-SUB,SOC-NGW,1
11398224,26062722252926QBXGFEDGO-DO,SOC-SOC,SUB-NWE,1
11398224,26062800211702RMR81KRDG-01,MAC-MAC,CBN-MJL,1
11398224,26062800211702RMR81KRDG-DO,CBN-MJL,MAC-KD5,1
11398224,26062800285799SALWTM36R-01,MAC-MAC,MAC-SKT,1
11398224,26062800285799SALWTM36R-DO,MAC-SKT,MAC-KD5,1
11398224,26062801112189BSINPCB7L-01,MAC-MAC,MAC-JPK,1
11398224,26062801112189BSINPCB7L-DO,MAC-MAC,MAC-KD5,1
11398224,26062801112189XMGYUF8L14-01,MAC-MAC,MAC-JPK,1
11398224,26062801112189XMGYUF8L14-DO,MAC-MAC,MAC-KD5,1
11398224,26062802030016HFRZ0H33C-01,SUB-SUB,SOC-NJK,1
11398224,26062802030016HFRZ0H33C-DO,SOC-SOC,SUB-NWE,1
11398224,26062803062043QZBQWJSU-01,SUB-SUB,SOC-NGW,1
11398224,26062803062043QZBQWJSU-DO,SOC-SOC,SUB-NWE,1
11398224,260628031355977GSU5Z5XF-01,MAC-MAC,CBN-MJL,1
11398224,260628031355977GSU5Z5XF-DO,CBN-MJL,MAC-KD5,1
11398224,26062803135598FM2LLWUWUQ-01,MAC-MAC,CBN-MJL,1
11398224,26062803135598FM2LLWUWUQ-02,MAC-MAC,CBN-MJL,1
11398224,26062803135598FM2LLWUWUQ-DO,CBN-MJL,MAC-KD5,1
11398224,26062803135598VC9XGYVR21-01,MAC-MAC,CBN-MJL,1
11398224,26062803135598VC9XGYVR21-DO,CBN-MJL,MAC-KD5,1
11398224,260628032018090ERRTHNW2-01,MAC-MAC,BDO-SNR,1
11398224,260628032018090ERRTHNW2-02,MAC-MAC,BDO-SNR,1
11398224,260628032018090ERRTHNW2-DO,BDO-BDO,MAC-KD5,1
11398224,260628035308726RLUKL9NQ2-01,SUB-SUB,SRG-KDL,1
11398224,260628035308726RLUKL9NQ2-02,SUB-SUB,SRG-KDL,1
11398224,260628035308726RLUKL9NQ2-DO,SRG-KDL,SUB-NWE,1
11398224,26062803530872IPCV3PYNCD-01,SUB-SUB,SRG-KDL,1
